"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","4학년 학급수","4학년 학생수","4학년 학급당 학생수","5학년 학급수","5학년 학생수","5학년 학급당 학생수","6학년 학급수","6학년 학생수","6학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"전라남도교육청","전라남도완도교육지원청","전라남도 완도군","S140001835","금일초등학교","02","공립","N","","1","9","9","1","9","9","1","9","9","1","17","17","1","8","8","1","10","10","1","5","5","0","0","0","7","67","9.6","8","8.4"
"전라남도교육청","전라남도완도교육지원청","전라남도 완도군","S140001840","넙도초등학교","02","공립","N","","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","0","0","0","0","0","0","0","0","0","1","2","2","2","1"
"전라남도교육청","전라남도완도교육지원청","전라남도 완도군","S140001844","노화북초등학교","02","공립","N","","1","4","4","1","11","11","1","8","8","1","8","8","1","7","7","1","10","10","1","2","2","0","0","0","7","50","7.1","8","6.3"
"전라남도교육청","전라남도완도교육지원청","전라남도 완도군","S140001845","노화중앙초등학교","02","공립","N","","1","3","3","1","5","5","1","7","7","1","3","3","0","0","0","1","6","6","0","0","0","0","0","0","5","24","4.8","7","3.4"
"전라남도교육청","전라남도완도교육지원청","전라남도 완도군","S140001846","노화초등학교","02","공립","N","","1","11","11","1","8","8","1","16","16","1","13","13","1","16","16","1","10","10","0","0","0","0","0","0","6","74","12.3","7","10.6"
"전라남도교육청","전라남도완도교육지원청","전라남도 완도군","S140001849","보길동초등학교","02","공립","N","","1","5","5","1","10","10","1","10","10","1","5","5","1","18","18","1","8","8","1","4","4","0","0","0","7","60","8.6","8","7.5"
"전라남도교육청","전라남도완도교육지원청","전라남도 완도군","S140001852","보길초등학교","02","공립","N","","1","7","7","1","11","11","1","10","10","1","10","10","1","17","17","1","11","11","1","5","5","0","0","0","7","71","10.1","10","7.1"
"전라남도교육청","전라남도완도교육지원청","전라남도 완도군","S140001853","생영초등학교","02","공립","N","","1","2","2","1","3","3","1","1","1","1","5","5","1","4","4","1","3","3","1","2","2","0","0","0","7","20","2.9","8","2.5"
"전라남도교육청","전라남도완도교육지원청","전라남도 완도군","S140001855","소안초등학교","02","공립","N","","1","7","7","1","8","8","1","16","16","1","10","10","1","18","18","1","11","11","0","0","0","0","0","0","6","70","11.7","7","10"
"전라남도교육청","전라남도완도교육지원청","전라남도 완도군","S140001859","신지동초등학교","02","공립","N","","1","2","2","1","3","3","1","3","3","1","3","3","1","5","5","1","2","2","0","0","0","0","0","0","6","18","3","9","2"
"전라남도교육청","전라남도완도교육지원청","전라남도 완도군","S140001860","신지초등학교","02","공립","N","","1","2","2","1","6","6","1","5","5","1","7","7","1","2","2","1","9","9","0","0","0","0","0","0","6","31","5.2","7","4.4"
"전라남도교육청","전라남도완도교육지원청","전라남도 완도군","S140001863","약산초등학교","02","공립","N","","1","6","6","1","6","6","1","10","10","1","12","12","1","7","7","1","6","6","0","0","0","0","0","0","6","47","7.8","7","6.7"
"전라남도교육청","전라남도완도교육지원청","전라남도 완도군","S140001865","완도중앙초등학교","02","공립","N","","5","93","18.6","5","98","19.6","6","118","19.7","6","106","17.7","5","116","23.2","5","112","22.4","0","0","0","0","0","0","32","643","20.1","40","16.1"
"전라남도교육청","전라남도완도교육지원청","전라남도 완도군","S140001866","완도초등학교","02","공립","N","","2","24","12","1","18","18","2","30","15","2","24","12","2","33","16.5","2","36","18","2","10","5","0","0","0","13","175","13.5","19","9.2"
"전라남도교육청","전라남도완도교육지원청","전라남도 완도군","S140001874","청산초등학교","02","공립","N","","0","0","0","1","6","6","1","5","5","1","2","2","1","4","4","1","4","4","0","0","0","0","0","0","5","21","4.2","7","3"
"전라남도교육청","전라남도완도교육지원청","전라남도 완도군","S140001878","청해초등학교","02","공립","N","","1","3","3","1","3","3","1","3","3","1","6","6","1","10","10","1","11","11","1","5","5","0","0","0","7","41","5.9","8","5.1"
"전라남도교육청","전라남도완도교육지원청","전라남도 완도군","S140001882","화흥초등학교","02","공립","N","","1","3","3","1","2","2","1","5","5","1","4","4","1","12","12","1","2","2","1","3","3","0","0","0","7","31","4.4","9","3.4"
"전라남도교육청","전라남도장성교육지원청","전라남도 장성군","S140001921","동화초등학교","02","공립","N","","1","11","11","1","5","5","1","12","12","1","6","6","1","5","5","1","5","5","1","1","1","0","0","0","7","45","6.4","8","5.6"
"전라남도교육청","전라남도장성교육지원청","전라남도 장성군","S140001922","북이초등학교","02","공립","N","","1","5","5","1","5","5","1","7","7","1","8","8","1","6","6","1","7","7","1","1","1","0","0","0","7","39","5.6","8","4.9"
"전라남도교육청","전라남도장성교육지원청","전라남도 장성군","S140001924","북일초등학교","02","공립","N","","1","4","4","1","4","4","1","2","2","1","2","2","1","3","3","1","2","2","1","2","2","0","0","0","7","19","2.7","8","2.4"
"전라남도교육청","전라남도장성교육지원청","전라남도 장성군","S140001925","분향초등학교","02","공립","N","","1","5","5","1","9","9","1","13","13","1","10","10","1","7","7","1","14","14","1","5","5","0","0","0","7","63","9","9","7"
"전라남도교육청","전라남도장성교육지원청","전라남도 장성군","S140001926","사창초등학교","02","공립","N","","2","38","19","2","38","19","3","36","12","2","37","18.5","2","38","19","2","37","18.5","1","4","4","0","0","0","14","228","16.3","19","12"
"전라남도교육청","전라남도장성교육지원청","전라남도 장성군","S140001929","삼서초등학교","02","공립","N","","1","5","5","1","9","9","1","9","9","1","11","11","1","9","9","1","9","9","1","4","4","0","0","0","7","56","8","7","8"
"전라남도교육청","전라남도장성교육지원청","전라남도 장성군","S140001930","서삼초등학교","02","공립","N","","1","7","7","1","8","8","1","4","4","1","11","11","1","4","4","1","9","9","1","2","2","0","0","0","7","45","6.4","9","5"
"전라남도교육청","전라남도장성교육지원청","전라남도 장성군","S140001931","약수초등학교","02","공립","N","","0","0","0","1","4","4","1","5","5","1","9","9","1","6","6","1","5","5","0","0","0","0","0","0","5","29","5.8","7","4.1"
"전라남도교육청","전라남도장성교육지원청","전라남도 장성군","S140001933","월평초등학교","02","공립","N","","1","13","13","1","15","15","1","21","21","2","31","15.5","2","24","12","1","14","14","2","10","5","0","0","0","10","128","12.8","12","10.7"
"전라남도교육청","전라남도장성교육지원청","전라남도 장성군","S140001935","장성성산초등학교","02","공립","N","","1","11","11","1","8","8","1","14","14","1","9","9","1","18","18","1","11","11","2","7","3.5","0","0","0","8","78","9.8","10","7.8"
"전라남도교육청","전라남도장성교육지원청","전라남도 장성군","S140001936","장성중앙초등학교","02","공립","N","","3","58","19.3","3","53","17.7","4","81","20.3","4","79","19.8","4","103","25.8","4","82","20.5","1","3","3","0","0","0","23","459","20","31","14.8"
"전라남도교육청","전라남도장성교육지원청","전라남도 장성군","S140001937","진원동초등학교","02","공립","N","","1","16","16","1","6","6","1","8","8","1","8","8","1","13","13","1","10","10","1","4","4","0","0","0","7","65","9.3","8","8.1"
"전라남도교육청","전라남도장성교육지원청","전라남도 장성군","S140001938","진원초등학교","02","공립","N","","1","13","13","2","30","15","2","26","13","2","28","14","2","35","17.5","2","37","18.5","0","0","0","0","0","0","11","169","15.4","14","12.1"
"전라남도교육청","전라남도장흥교육지원청","전라남도 장흥군","S140001968","관산남초등학교","02","공립","N","","0","0","0","1","2","2","1","3","3","1","4","4","1","4","4","0","0","0","1","2","2","0","0","0","5","15","3","7","2.1"
"전라남도교육청","전라남도장흥교육지원청","전라남도 장흥군","S140001970","관산초등학교","02","공립","N","","1","3","3","1","4","4","1","5","5","1","5","5","1","9","9","1","8","8","1","2","2","0","0","0","7","36","5.1","9","4"
"전라남도교육청","전라남도장흥교육지원청","전라남도 장흥군","S140001974","대덕초등학교","02","공립","N","","1","12","12","1","10","10","1","9","9","1","10","10","1","12","12","1","11","11","1","3","3","0","0","0","7","67","9.6","9","7.4"
"전라남도교육청","전라남도장흥교육지원청","전라남도 장흥군","S140001975","명덕초등학교","02","공립","N","","0","0","0","1","4","4","1","1","1","1","5","5","1","3","3","1","6","6","0","0","0","0","0","0","5","19","3.8","7","2.7"
"전라남도교육청","전라남도장흥교육지원청","전라남도 장흥군","S140001977","부산초등학교","02","공립","N","","0","0","0","1","4","4","1","3","3","1","3","3","1","3","3","1","4","4","1","2","2","0","0","0","6","19","3.2","8","2.4"
"전라남도교육청","전라남도장흥교육지원청","전라남도 장흥군","S140001980","안양초등학교","02","공립","N","","1","2","2","1","5","5","1","1","1","1","4","4","1","3","3","1","6","6","1","2","2","0","0","0","7","23","3.3","7","3.3"
"전라남도교육청","전라남도장흥교육지원청","전라남도 장흥군","S140001981","용산초등학교","02","공립","N","","1","3","3","0","0","0","1","5","5","1","7","7","1","3","3","1","8","8","0","0","0","0","0","0","5","26","5.2","6","4.3"
